timestamp,cpu_percent,ram_percent,cpu_freq
2026-02-08T11:22:10.327256,6.4,15.6,2100.0
2026-02-08T11:22:10.827691,5.8,15.6,2100.0
2026-02-08T11:22:11.328300,7.8,15.6,2100.0
2026-02-08T11:22:11.828809,6.4,15.6,2100.0
2026-02-08T11:22:12.329446,6.0,15.6,2100.0
2026-02-08T11:22:12.830378,5.2,15.6,2100.0
2026-02-08T11:22:13.330942,8.1,15.6,2100.0
2026-02-08T11:22:13.831333,5.4,15.6,2100.0
2026-02-08T11:22:14.332672,10.5,15.6,2100.0
2026-02-08T11:22:14.833387,7.7,15.6,2100.0
2026-02-08T11:22:15.334190,8.0,15.6,2100.0
2026-02-08T11:22:15.834795,7.4,15.6,2100.0
2026-02-08T11:22:16.335650,6.2,15.6,2100.0
2026-02-08T11:22:16.836421,7.6,15.5,2100.0
2026-02-08T11:22:17.336923,5.9,15.5,2100.0
2026-02-08T11:22:17.837507,8.7,15.5,2100.0
2026-02-08T11:22:18.337971,7.4,15.5,2100.0
2026-02-08T11:22:18.839092,6.8,15.5,2100.0
2026-02-08T11:22:19.339848,6.9,15.5,2100.0
2026-02-08T11:22:19.840600,6.2,15.5,2100.0
2026-02-08T11:22:20.341457,8.3,15.5,2100.0
2026-02-08T11:22:20.842115,7.4,15.5,2100.0
2026-02-08T11:22:21.343810,4.7,15.5,2100.0
2026-02-08T11:22:21.844593,7.0,15.5,2100.0
2026-02-08T11:22:22.345394,5.1,15.5,2100.0
2026-02-08T11:22:22.846271,6.7,15.5,2100.0
2026-02-08T11:22:23.347369,6.9,15.5,2100.0
2026-02-08T11:22:23.848020,6.0,15.5,2100.0
2026-02-08T11:22:24.348523,8.2,15.5,2100.0
2026-02-08T11:22:24.848909,7.9,15.5,2100.0
2026-02-08T11:22:25.350455,8.9,15.5,2100.0
2026-02-08T11:22:25.851090,7.9,15.5,2100.0
2026-02-08T11:22:26.352045,9.4,15.5,2100.0
2026-02-08T11:22:26.852726,7.6,15.5,2100.0
2026-02-08T11:22:27.353420,5.1,15.5,2100.0
2026-02-08T11:22:27.854367,12.5,15.5,2100.0
2026-02-08T11:22:28.354857,5.5,15.5,2100.0
2026-02-08T11:22:28.855372,11.3,15.5,2100.0
2026-02-08T11:22:29.356169,2.5,15.5,2100.0
2026-02-08T11:22:29.857038,9.1,15.5,2100.0
2026-02-08T11:22:30.357931,5.0,15.5,2100.0
2026-02-08T11:22:30.858429,6.5,15.5,2100.0
2026-02-08T11:22:31.360473,4.0,15.5,2100.0
2026-02-08T11:22:31.861261,6.5,15.5,2100.0
2026-02-08T11:22:32.362929,5.8,15.5,2100.0
2026-02-08T11:22:32.863534,8.7,15.5,2100.0
2026-02-08T11:22:33.364160,5.5,15.5,2100.0
2026-02-08T11:22:33.865148,8.0,15.5,2100.0
2026-02-08T11:22:34.365856,4.9,15.5,2100.0
2026-02-08T11:22:34.866378,10.2,15.5,2100.0
2026-02-08T11:22:35.368095,6.0,15.5,2100.0
2026-02-08T11:22:35.868642,7.3,15.5,2100.0
2026-02-08T11:22:36.369510,9.0,15.5,2100.0
2026-02-08T11:22:36.870217,8.5,15.5,2100.0
2026-02-08T11:22:37.370917,6.2,15.5,2100.0
2026-02-08T11:22:37.871654,10.4,15.5,2100.0
2026-02-08T11:22:38.372492,5.7,15.5,2100.0
2026-02-08T11:22:38.873132,7.2,15.5,2100.0
2026-02-08T11:22:39.373826,5.9,15.5,2100.0
2026-02-08T11:22:39.874491,9.6,15.5,2100.0
2026-02-08T11:22:40.375904,6.5,15.5,2100.0
2026-02-08T11:22:40.876571,6.7,15.5,2100.0
2026-02-08T11:22:41.377112,4.7,15.5,2100.0
2026-02-08T11:22:41.877975,9.3,15.5,2100.0
2026-02-08T11:22:42.379039,5.4,15.5,2100.0
2026-02-08T11:22:42.879747,6.5,15.5,2100.0
2026-02-08T11:22:43.380562,5.2,15.5,2100.0
2026-02-08T11:22:43.881443,7.9,15.5,2100.0
2026-02-08T11:22:44.382150,6.2,15.5,2100.0
2026-02-08T11:22:44.886576,12.2,15.5,2100.0
2026-02-08T11:22:45.387319,4.8,15.5,2100.0
2026-02-08T11:22:45.888075,5.7,15.5,2100.0
2026-02-08T11:22:46.388625,5.9,15.5,2100.0
